chr	pos		N	X
chr19	3002065		1	0
chr19	3002077		1	1
chr19	3033301		1	1
chr19	3033336		1	1
chr19	3078947		21	12
chr19	3078966		28	15
chr19	3079586		5	3
chr19	3079597		7	7
chr19	3079728		29	21
chr19	3079791		29	16
chr19	3084234		12	4
chr19	3084253		10	4
chr19	3091333		14	12
chr19	3091368		6	6
chr19	3091949		14	12
chr19	3091994		21	13
chr19	3092084		17	11
chr19	3092098		22	21
chr19	3093015		3	1
chr19	3093045		6	1
chr19	3094409		8	6
chr19	3094431		13	9
chr19	3094545		8	7
chr19	3094549		7	6
chr19	3095013		2	1
chr19	3095097		6	5
chr19	3095261		36	28
chr19	3095272		38	31
chr19	3095344		21	13
chr19	3095396		18	6
chr19	3095436		18	14
chr19	3095441		17	15
chr19	3100224		34	21
chr19	3100236		38	20
chr19	3101516		20	13
chr19	3101584		1	1
chr19	3105022		37	19
chr19	3105096		39	27
chr19	3106115		37	37
chr19	3106182		47	29
chr19	3108038		19	13
chr19	3108045		19	17
chr19	3108776		16	13
chr19	3108787		17	16
chr19	3110726		10	5
chr19	3110792		21	18
chr19	3111015		14	2
chr19	3111078		17	5
chr19	3114012		39	33
chr19	3114060		31	16
chr19	3116055		31	25
chr19	3116074		38	27
chr19	3119710		17	13
chr19	3119714		16	13
chr19	3119810		14	11
chr19	3119835		17	16
chr19	3120632		11	10
chr19	3120677		26	18
chr19	3122557		14	8
chr19	3122597		17	12
chr19	3125534		38	27
chr19	3125546		38	26
chr19	3125852		12	10
chr19	3125861		11	7
chr19	3126507		18	13
chr19	3126521		21	14
chr19	3129160		20	10
chr19	3129194		9	7
chr19	3130051		37	15
chr19	3130054		38	19
chr19	3130719		33	27
chr19	3130774		25	18
chr19	3130911		15	10
chr19	3130992		13	9
chr19	3131023		23	19
chr19	3131032		22	21
chr19	3133504		3	0
chr19	3133560		6	5
chr19	3136123		51	47
chr19	3136128		51	48
chr19	3136528		23	12
chr19	3136538		22	18
chr19	3136920		15	5
chr19	3136952		26	9
chr19	3137053		36	21
chr19	3137079		39	35
chr19	3139631		30	17
chr19	3139662		34	34
chr19	3139823		16	16
chr19	3139853		17	16
chr19	3141721		6	6
chr19	3141726		6	6
chr19	3142118		9	6
chr19	3142157		13	9
chr19	3142207		12	11
chr19	3142214		14	13
chr19	3142943		13	11
chr19	3142961		9	7
chr19	3143919		9	9
chr19	3143944		1	1
chr19	3148068		22	13
chr19	3148100		30	7
chr19	3148325		22	18
chr19	3148377		20	13
chr19	3148525		16	13
chr19	3148555		18	13
chr19	3149778		18	16
chr19	3149781		16	14
chr19	3150843		6	6
chr19	3150855		8	7
chr19	3151802		23	21
chr19	3151851		35	25
chr19	3152530		12	12
chr19	3152579		10	10
chr19	3152643		11	10
chr19	3152662		11	8
chr19	3152925		15	8
chr19	3152965		19	19
chr19	3153049		20	16
chr19	3153090		21	21
chr19	3154715		32	32
chr19	3154720		36	33
chr19	3156546		21	18
chr19	3156595		21	20
chr19	3156934		18	16
chr19	3156950		15	12
chr19	3158647		9	8
chr19	3158697		10	7
chr19	3159870		12	10
chr19	3159882		15	11
chr19	3160324		10	8
chr19	3160377		9	8
chr19	3160501		16	10
chr19	3160510		15	12
chr19	3160654		25	21
chr19	3160674		28	24
chr19	3160713		17	13
chr19	3160782		6	3
chr19	3160867		8	8
chr19	3160893		10	10
chr19	3161049		12	11
chr19	3161068		10	10
chr19	3161309		32	30
chr19	3161342		35	31
chr19	3161749		3	3
chr19	3161779		6	6
chr19	3167920		18	4
chr19	3167927		17	4
chr19	3168755		14	13
chr19	3168790		19	13
chr19	3168952		23	22
chr19	3168962		24	23
chr19	3169007		25	21
chr19	3169027		23	19
chr19	3170126		40	37
chr19	3170196		21	21
chr19	3170449		29	26
chr19	3170491		29	23
chr19	3170982		28	20
chr19	3170992		28	23
chr19	3172138		19	12
chr19	3172194		20	12
chr19	3172722		23	14
chr19	3172772		15	10
chr19	3177823		13	11
chr19	3177887		4	4
chr19	3178426		14	13
chr19	3178471		13	2
chr19	3178606		13	6
chr19	3178613		15	9
chr19	3181109		32	20
chr19	3181156		20	14
chr19	3182902		35	11
chr19	3182996		37	27
chr19	3190227		36	33
chr19	3190280		38	24
chr19	3192407		18	16
chr19	3192436		14	14
chr19	3193070		20	19
chr19	3193075		19	17
chr19	3195327		14	14
chr19	3195334		15	14
chr19	3196387		5	5
chr19	3196389		5	5
chr19	3196759		15	13
chr19	3196763		15	15
chr19	3196873		10	9
chr19	3196879		10	8
chr19	3201680		16	12
chr19	3201682		16	4
chr19	3204042		16	15
chr19	3204052		20	19
chr19	3204530		18	13
chr19	3204573		20	7
chr19	3204864		29	27
chr19	3204897		39	36
chr19	3206007		15	14
chr19	3206055		18	16
chr19	3206144		17	15
chr19	3206190		14	13
chr19	3206651		9	8
chr19	3206687		11	6
chr19	3206702		11	11
chr19	3206714		14	13
chr19	3207424		14	13
chr19	3207480		16	12
chr19	3208483		23	0
chr19	3208495		24	0
chr19	3208555		18	2
chr19	3208584		19	2
chr19	3208709		14	14
chr19	3208786		22	16
chr19	3211515		24	22
chr19	3211525		23	22
chr19	3211944		17	11
chr19	3211956		16	13
chr19	3212112		13	9
chr19	3212181		13	12
chr19	3212376		11	5
chr19	3212386		13	9
chr19	3214050		20	16
chr19	3214085		22	20
chr19	3216105		45	40
chr19	3216117		41	37
chr19	3218873		25	23
chr19	3218890		27	26
chr19	3220922		37	24
chr19	3220973		26	16
chr19	3223430		24	20
chr19	3223444		23	21
chr19	3224441		1	0
chr19	3224451		1	1
chr19	3226711		4	0
chr19	3226721		4	1
chr19	3232507		9	8
chr19	3232542		10	9
chr19	3236162		11	10
chr19	3236174		16	12
chr19	3236806		17	14
chr19	3236860		18	11
chr19	3239653		31	27
chr19	3239667		28	20
chr19	3242520		1	1
chr19	3242527		1	1
chr19	3247289		2	1
chr19	3247294		3	2
chr19	3247628		8	7
chr19	3247655		6	6
chr19	3247829		5	3
chr19	3247832		6	4
chr19	3247956		3	3
chr19	3247993		3	3
chr19	3249066		19	15
chr19	3249098		22	17
chr19	3249201		21	21
chr19	3249300		22	19
chr19	3249851		4	2
chr19	3249877		5	1
chr19	3250103		29	28
chr19	3250176		18	18
chr19	3258413		18	18
chr19	3258425		20	20
chr19	3259166		21	21
chr19	3259172		20	19
chr19	3259934		17	16
chr19	3260000		8	8
chr19	3261139		8	7
chr19	3261153		9	7
chr19	3261209		9	9
chr19	3261297		9	9
chr19	3261610		8	8
chr19	3261629		9	9
chr19	3261941		15	12
chr19	3261955		13	11
chr19	3262003		12	11
chr19	3262050		14	13
chr19	3262333		6	3
chr19	3262386		8	6
chr19	3262471		14	12
chr19	3262476		15	10
chr19	3262942		46	44
chr19	3262975		40	36
chr19	3263128		18	16
chr19	3263149		15	12
chr19	3263565		23	21
chr19	3263583		21	19
chr19	3263826		4	4
chr19	3263835		4	4
chr19	3263919		6	6
chr19	3263957		7	6
chr19	3265025		12	12
chr19	3265092		8	7
chr19	3265229		5	5
chr19	3265251		4	4
chr19	3265440		6	6
chr19	3265483		8	7
chr19	3265512		11	11
chr19	3265600		14	11
chr19	3266150		5	5
chr19	3266170		4	4
chr19	3266319		14	12
chr19	3266383		17	15
chr19	3266834		12	12
chr19	3266866		11	10
chr19	3268015		21	17
chr19	3268074		14	12
chr19	3268234		11	11
chr19	3268299		11	11
chr19	3268403		14	14
chr19	3268438		21	19
chr19	3268910		13	13
chr19	3268951		16	13
chr19	3269807		13	12
chr19	3269893		16	16
chr19	3270332		17	16
chr19	3270351		18	18
