chr	pos		N	X
chr19	3078947		14	12
chr19	3078966		24	20
chr19	3079586		7	6
chr19	3079597		8	6
chr19	3079728		25	25
chr19	3079791		28	19
chr19	3084234		12	7
chr19	3084253		9	5
chr19	3084310		4	1
chr19	3084355		2	1
chr19	3085719		1	1
chr19	3085761		6	5
chr19	3091333		11	9
chr19	3091368		6	5
chr19	3091949		20	19
chr19	3091994		25	15
chr19	3092084		14	12
chr19	3092098		14	14
chr19	3093015		4	2
chr19	3093045		6	3
chr19	3094409		7	7
chr19	3094431		12	9
chr19	3094545		15	15
chr19	3094549		15	15
chr19	3095261		31	24
chr19	3095272		29	28
chr19	3095344		15	14
chr19	3095396		14	12
chr19	3095436		14	14
chr19	3095441		12	12
chr19	3100224		29	24
chr19	3100236		33	27
chr19	3101516		18	13
chr19	3101584		2	2
chr19	3105022		36	25
chr19	3105096		32	27
chr19	3106115		28	25
chr19	3106182		41	31
chr19	3108038		10	6
chr19	3108045		10	9
chr19	3108776		7	7
chr19	3108787		7	6
chr19	3110726		8	7
chr19	3110792		19	18
chr19	3111015		11	3
chr19	3111078		13	11
chr19	3114012		41	36
chr19	3114060		28	17
chr19	3116055		27	26
chr19	3116074		35	32
chr19	3119710		9	9
chr19	3119714		11	9
chr19	3119810		11	10
chr19	3119835		9	9
chr19	3120632		2	2
chr19	3120677		12	12
chr19	3122557		10	8
chr19	3122597		14	12
chr19	3125534		26	25
chr19	3125546		25	20
chr19	3125852		7	7
chr19	3125861		8	8
chr19	3126507		17	16
chr19	3126521		17	17
chr19	3129160		16	15
chr19	3129194		2	2
chr19	3130051		26	12
chr19	3130054		30	18
chr19	3130719		20	16
chr19	3130774		10	8
chr19	3130911		9	8
chr19	3130992		5	4
chr19	3131023		13	12
chr19	3131032		15	15
chr19	3131804		2	2
chr19	3131843		6	6
chr19	3133504		3	3
chr19	3133560		10	10
chr19	3136123		70	68
chr19	3136128		69	69
chr19	3136528		13	10
chr19	3136538		13	12
chr19	3136920		20	15
chr19	3136952		21	12
chr19	3137053		21	19
chr19	3137079		28	27
chr19	3139631		26	20
chr19	3139662		32	31
chr19	3139823		14	14
chr19	3139853		16	16
chr19	3141721		3	3
chr19	3141726		3	3
chr19	3142118		6	4
chr19	3142157		10	9
chr19	3142207		11	9
chr19	3142214		11	11
chr19	3142943		8	8
chr19	3142961		7	7
chr19	3143919		9	9
chr19	3143944		3	3
chr19	3148068		25	15
chr19	3148100		28	15
chr19	3148325		18	14
chr19	3148377		12	12
chr19	3148525		12	11
chr19	3148555		16	13
chr19	3149778		12	11
chr19	3149781		10	10
chr19	3149959		2	2
chr19	3149965		4	4
chr19	3150843		13	12
chr19	3150855		13	12
chr19	3151802		33	31
chr19	3151851		40	36
chr19	3152530		8	7
chr19	3152579		5	5
chr19	3152643		12	10
chr19	3152662		12	11
chr19	3152925		18	14
chr19	3152965		24	22
chr19	3153049		13	9
chr19	3153090		15	15
chr19	3154715		22	22
chr19	3154720		24	24
chr19	3156546		14	14
chr19	3156595		10	10
chr19	3156934		6	6
chr19	3156950		6	5
chr19	3158647		6	6
chr19	3158697		6	4
chr19	3159870		12	11
chr19	3159882		11	7
chr19	3160324		23	19
chr19	3160377		17	12
chr19	3160501		12	10
chr19	3160510		9	6
chr19	3160654		14	14
chr19	3160674		15	13
chr19	3160713		14	11
chr19	3160782		11	10
chr19	3160867		10	8
chr19	3160893		10	10
chr19	3161049		4	4
chr19	3161068		4	3
chr19	3161309		25	25
chr19	3161342		21	21
chr19	3161749		4	4
chr19	3161779		9	9
chr19	3167920		6	3
chr19	3167927		10	3
chr19	3168755		10	10
chr19	3168790		12	10
chr19	3168952		15	15
chr19	3168962		16	16
chr19	3169007		12	11
chr19	3169027		18	17
chr19	3170126		21	21
chr19	3170196		16	16
chr19	3170449		13	13
chr19	3170491		11	11
chr19	3170982		16	14
chr19	3170992		16	13
chr19	3172138		35	23
chr19	3172194		30	24
chr19	3172722		12	11
chr19	3172772		11	10
chr19	3177823		12	12
chr19	3177887		4	3
chr19	3178426		7	7
chr19	3178471		8	3
chr19	3178606		11	8
chr19	3178613		15	14
chr19	3181109		27	23
chr19	3181156		17	13
chr19	3182902		20	10
chr19	3182996		36	32
chr19	3190227		30	29
chr19	3190280		25	21
chr19	3192407		18	18
chr19	3192436		19	18
chr19	3193070		16	16
chr19	3193075		16	14
chr19	3195327		11	11
chr19	3195334		9	9
chr19	3196387		3	2
chr19	3196389		2	2
chr19	3196759		11	9
chr19	3196763		11	11
chr19	3196873		8	8
chr19	3196879		7	7
chr19	3201680		8	7
chr19	3201682		9	6
chr19	3204042		13	12
chr19	3204052		12	12
chr19	3204530		20	13
chr19	3204573		12	7
chr19	3204864		29	26
chr19	3204897		29	27
chr19	3206007		13	13
chr19	3206055		12	12
chr19	3206144		16	15
chr19	3206190		16	16
chr19	3206651		8	7
chr19	3206687		8	7
chr19	3206702		6	6
chr19	3206714		6	6
chr19	3207424		13	13
chr19	3207480		13	11
chr19	3208483		16	0
chr19	3208495		17	0
chr19	3208555		18	0
chr19	3208584		19	0
chr19	3208709		6	6
chr19	3208786		5	5
chr19	3211515		26	23
chr19	3211525		27	27
chr19	3211944		16	13
chr19	3211956		15	14
chr19	3212112		15	13
chr19	3212181		21	21
chr19	3212376		10	9
chr19	3212386		10	10
chr19	3214050		20	15
chr19	3214085		18	18
chr19	3216105		59	54
chr19	3216117		60	52
chr19	3218873		25	25
chr19	3218890		26	25
chr19	3220922		30	29
chr19	3220973		29	24
chr19	3223430		12	10
chr19	3223444		12	11
chr19	3224441		5	5
chr19	3224451		4	4
chr19	3226711		5	2
chr19	3226721		5	2
chr19	3232507		9	9
chr19	3232542		11	11
chr19	3236162		15	15
chr19	3236174		16	16
chr19	3236806		11	10
chr19	3236860		9	6
chr19	3239653		19	17
chr19	3239667		12	6
chr19	3241228		2	2
chr19	3241275		2	2
chr19	3247289		1	1
chr19	3247294		1	1
chr19	3247628		9	6
chr19	3247655		5	5
chr19	3247829		2	2
chr19	3247832		2	2
chr19	3247956		1	1
chr19	3247993		1	1
chr19	3249066		11	8
chr19	3249098		13	12
chr19	3249201		11	10
chr19	3249300		9	8
chr19	3249851		6	6
chr19	3249877		6	5
chr19	3250103		23	22
chr19	3250176		11	11
chr19	3258413		19	16
chr19	3258425		14	14
chr19	3259166		10	9
chr19	3259172		10	10
chr19	3259934		17	16
chr19	3260000		8	8
chr19	3261139		6	6
chr19	3261153		6	6
chr19	3261209		5	5
chr19	3261297		2	2
chr19	3261610		7	7
chr19	3261629		8	8
chr19	3261941		6	3
chr19	3261955		8	0
chr19	3262003		11	6
chr19	3262050		14	8
chr19	3262333		6	4
chr19	3262386		12	11
chr19	3262471		15	15
chr19	3262476		13	13
chr19	3262942		35	28
chr19	3262975		31	26
chr19	3263128		11	10
chr19	3263149		9	7
chr19	3263565		11	11
chr19	3263583		12	12
chr19	3263826		4	3
chr19	3263835		2	2
chr19	3263919		3	3
chr19	3263957		6	5
chr19	3265025		6	5
chr19	3265092		6	5
chr19	3265229		7	5
chr19	3265251		6	6
chr19	3265440		9	9
chr19	3265483		12	10
chr19	3265512		11	10
chr19	3265600		6	4
chr19	3266150		6	4
chr19	3266170		5	4
chr19	3266319		10	8
chr19	3266383		10	10
chr19	3266834		8	8
chr19	3266866		10	10
chr19	3268015		15	11
chr19	3268074		11	8
chr19	3268234		5	5
chr19	3268299		4	4
chr19	3268403		8	8
chr19	3268438		9	8
chr19	3268910		11	10
chr19	3268951		12	12
chr19	3269807		9	9
chr19	3269893		9	5
chr19	3270332		15	5
chr19	3270351		13	4
chr19	3270440		5	5
chr19	3270462		7	6
chr19	3270626		15	15
chr19	3270681		14	14
chr19	3271635		1	1
chr19	3271693		8	8
chr19	3272039		19	19
chr19	3272046		16	16
chr19	3272241		21	21
chr19	3272298		27	25
chr19	3272916		16	15
chr19	3272989		23	18
chr19	3273261		14	11
chr19	3273293		8	8
chr19	3273322		9	9
chr19	3273352		6	6
chr19	3273404		9	9
chr19	3273443		10	9
chr19	3273620		14	14
chr19	3273686		4	4
chr19	3274153		13	13
chr19	3274176		15	13
chr19	3274507		5	5
chr19	3274529		4	4
chr19	3275639		9	8
chr19	3275664		10	8
chr19	3276618		9	9
chr19	3276629		8	8
chr19	3277010		4	4
chr19	3277072		4	4
chr19	3277239		11	10
chr19	3277296		7	7
chr19	3277587		9	9
chr19	3277590		9	9
chr19	3277722		10	9
chr19	3277760		14	12
chr19	3279816		12	11
chr19	3279832		9	8
chr19	3280025		13	13
chr19	3280036		10	8
chr19	3280354		9	8
chr19	3280395		7	7
chr19	3280417		11	11
chr19	3280426		10	10
chr19	3280961		10	9
chr19	3280986		12	11
chr19	3281414		9	8
chr19	3281487		8	8
chr19	3281508		6	6
chr19	3281547		7	6
chr19	3281661		9	9
chr19	3281681		8	8
chr19	3282086		21	13
chr19	3282099		20	11
chr19	3282651		8	0
chr19	3282688		9	0
chr19	3283729		14	1
chr19	3283785		9	3
chr19	3284062		19	18
chr19	3284068		22	19
chr19	3284396		15	12
chr19	3284400		14	11
chr19	3284780		20	14
chr19	3284800		17	17
chr19	3285240		10	8
